Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
solution/(size=20 #rep=2 #sing=5 shuffle=Blocks),5.108877552357969e-4,5.041728384471227e-4,5.17239380138347e-4,1.7338820684738167e-5,1.2186574658741304e-5,2.6687071987853172e-5
solution/(size=20 #rep=2 #sing=10 shuffle=Blocks),3.72324866277841e-4,3.672035270949867e-4,3.7646388558238813e-4,1.2201162085035612e-5,8.941363516366407e-6,1.6382331858405048e-5
solution/(size=20 #rep=5 #sing=5 shuffle=Blocks),3.742505833943401e-4,3.690684694407526e-4,3.785384494212099e-4,1.2486184002873473e-5,9.719762978733612e-6,1.5742789625951972e-5
solution/(size=20 #rep=10 #sing=5 shuffle=Blocks),3.588187841095123e-4,3.540835595329922e-4,3.6209866749031843e-4,1.0099843379057293e-5,7.430576886684332e-6,1.3665931453932199e-5
solution/(size=50 #rep=2 #sing=5 shuffle=Blocks),9.767586004226865e-3,9.324515397573356e-3,1.0316028640026585e-2,1.0403498080234165e-3,6.806205883425945e-4,1.4755648527047325e-3
solution/(size=50 #rep=2 #sing=30 shuffle=Blocks),3.7095180796379336e-3,3.5789301634038774e-3,3.8924403415079786e-3,3.5290603019686497e-4,2.6929607350842627e-4,4.773631386250759e-4
solution/(size=50 #rep=5 #sing=5 shuffle=Blocks),4.2731783281112655e-3,4.147282319212253e-3,4.417231007087906e-3,3.802398406218455e-4,2.884430902363689e-4,5.092935709375067e-4
solution/(size=50 #rep=10 #sing=5 shuffle=Blocks),3.8188184146796325e-3,3.669949578776469e-3,4.0768683768448895e-3,5.219626219347073e-4,3.24127263037462e-4,8.318076836505878e-4
head solutions/(size=20 #rep=2 #sing=5 shuffle=Blocks),5.069821182912309e-4,5.020191398798678e-4,5.122141430148275e-4,1.4642214576376698e-5,1.2084923502983597e-5,1.8155613137773034e-5
head solutions/(size=20 #rep=2 #sing=10 shuffle=Blocks),3.7655549016066676e-4,3.70769304185766e-4,3.8130738994606676e-4,1.4234269861849245e-5,1.0972349057410481e-5,2.000839964237711e-5
head solutions/(size=20 #rep=5 #sing=5 shuffle=Blocks),3.731330785624424e-4,3.6870981596690076e-4,3.7812847655948906e-4,1.3193389170194094e-5,1.0273973640532206e-5,1.8566491588678575e-5
head solutions/(size=20 #rep=10 #sing=5 shuffle=Blocks),3.578899323289693e-4,3.5417118195814627e-4,3.6252960425388504e-4,1.1861662381651734e-5,8.820054285695519e-6,1.6356722463753722e-5
head solutions/(size=50 #rep=2 #sing=5 shuffle=Blocks),9.823568092647698e-3,9.451944134830964e-3,1.0198194559066915e-2,9.223759457142174e-4,6.43191284415447e-4,1.253260390277953e-3
head solutions/(size=50 #rep=2 #sing=30 shuffle=Blocks),3.711809377818246e-3,3.5790519612590626e-3,3.846788585849092e-3,3.537391155721811e-4,2.5541665679520254e-4,4.8636463336466424e-4
head solutions/(size=50 #rep=5 #sing=5 shuffle=Blocks),4.45766277213304e-3,4.287323588722801e-3,4.66177151960811e-3,4.673410777746735e-4,3.3725971943492897e-4,6.76745417306182e-4
head solutions/(size=50 #rep=10 #sing=5 shuffle=Blocks),3.941149567320433e-3,3.7660164547139146e-3,4.18212767128284e-3,5.772313152674925e-4,3.576182247676066e-4,8.077772019371663e-4
