Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
edgeSet4/(size=100 #rep=2 #sing=5 shuffle=Blocks),5.4466231405541236e-2,5.075834470156229e-2,5.659388690301597e-2,4.949569487841473e-3,2.768551704167133e-3,7.83517490332277e-3
edgeSet4/(size=100 #rep=2 #sing=60 shuffle=Blocks),2.4527653157906223e-2,2.30223456446814e-2,2.737025936711515e-2,3.8629044557066017e-3,2.592818565683947e-3,5.731751101628603e-3
edgeSet4/(size=100 #rep=5 #sing=5 shuffle=Blocks),2.7737750047267862e-2,2.6255159298629236e-2,3.041580178412872e-2,4.100622684621173e-3,2.49857845803371e-3,6.321313018514682e-3
edgeSet4/(size=100 #rep=10 #sing=5 shuffle=Blocks),2.5206315279465426e-2,2.40646953547646e-2,2.6678068167993212e-2,2.809344375462623e-3,1.6907560498784064e-3,4.061153737007246e-3
edgeSet4/(size=50 #rep=2 #sing=5 shuffle=Blocks),4.445222335170122e-3,4.4022309879806374e-3,4.4866435556342775e-3,1.2958580663314945e-4,1.0829839647693758e-4,1.6505712531988758e-4
edgeSet4/(size=50 #rep=2 #sing=30 shuffle=Blocks),2.7899621071171134e-3,2.741462244696656e-3,2.8634499216098194e-3,1.6350300493934292e-4,1.273717110342114e-4,2.1502138836812873e-4
edgeSet4/(size=50 #rep=5 #sing=5 shuffle=Blocks),3.011379799824927e-3,2.969479287966902e-3,3.05655145093919e-3,1.1817711770074485e-4,9.593608800163126e-5,1.5126635511265824e-4
edgeSet4/(size=50 #rep=10 #sing=5 shuffle=Blocks),2.7625680554437177e-3,2.695990103960348e-3,2.811912234973028e-3,1.499324839728559e-4,1.1315719819651779e-4,1.9824570760550945e-4
edgeSet5/(size=100 #rep=2 #sing=5 shuffle=Blocks),4.317840214475125e-2,4.107751498834261e-2,4.646233994355984e-2,4.906787030675384e-3,2.743110107420954e-3,8.7776340204019e-3
edgeSet5/(size=100 #rep=2 #sing=60 shuffle=Blocks),2.3836875890258256e-2,2.225416321477002e-2,2.6413526560733567e-2,4.298170330109832e-3,2.0469646011161704e-3,6.598695562450663e-3
edgeSet5/(size=100 #rep=5 #sing=5 shuffle=Blocks),2.5104981260917644e-2,2.3425860434813733e-2,2.7100124463546586e-2,3.865063018817571e-3,2.3822307340520123e-3,6.319775204494063e-3
edgeSet5/(size=100 #rep=10 #sing=5 shuffle=Blocks),2.3280385275885728e-2,2.219877135010564e-2,2.540066824720873e-2,3.6462540036333153e-3,1.67086159137218e-3,6.294623383842132e-3
edgeSet5/(size=50 #rep=2 #sing=5 shuffle=Blocks),3.7894034983586636e-3,3.7552902967976777e-3,3.844357721764371e-3,9.49385076358832e-5,6.932894584581821e-5,1.2571154119640917e-4
edgeSet5/(size=50 #rep=2 #sing=30 shuffle=Blocks),2.659599711810564e-3,2.6014537147793677e-3,2.7255101790270423e-3,1.8115478521888036e-4,1.3586306424388802e-4,2.4300272460927092e-4
edgeSet5/(size=50 #rep=5 #sing=5 shuffle=Blocks),2.8184343654961623e-3,2.765820704873691e-3,2.8716035681081854e-3,1.399841020881702e-4,1.1390740295438783e-4,1.8914371102273593e-4
edgeSet5/(size=50 #rep=10 #sing=5 shuffle=Blocks),2.649224549340387e-3,2.60073238153224e-3,2.713175295643255e-3,1.6274061182001092e-4,1.2146740568880616e-4,2.2493116586486337e-4
