Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
edgeSet1/(size=100 #rep=2 #sing=5 shuffle=Blocks),6.069446999007691e-2,5.76501321861229e-2,6.376359359194164e-2,5.146825407400663e-3,3.3926370720482497e-3,7.979629920487655e-3
edgeSet1/(size=100 #rep=2 #sing=60 shuffle=Blocks),5.2700096332509085e-2,5.103854856632442e-2,5.435608712417449e-2,3.3985314928965085e-3,2.21674544590245e-3,5.13700047069149e-3
edgeSet1/(size=100 #rep=5 #sing=5 shuffle=Blocks),5.398525435602032e-2,5.322595034460529e-2,5.5438083379091764e-2,1.8669048396497483e-3,9.897657387807435e-4,2.9967432633304716e-3
edgeSet1/(size=100 #rep=10 #sing=5 shuffle=Blocks),5.252846357630355e-2,4.978327531268078e-2,5.5045995022964755e-2,4.003124966150435e-3,2.3438221334631686e-3,5.843874798661334e-3
edgeSet1/(size=50 #rep=2 #sing=5 shuffle=Blocks),7.654181070506185e-3,7.557639698907721e-3,7.771151443933457e-3,2.7873200765735214e-4,1.8916880791766045e-4,3.888636034935682e-4
edgeSet1/(size=50 #rep=2 #sing=30 shuffle=Blocks),6.458312683711101e-3,6.386590976353284e-3,6.57299766824249e-3,2.319687527153038e-4,1.7360041583769966e-4,3.0213831329748764e-4
edgeSet1/(size=50 #rep=5 #sing=5 shuffle=Blocks),6.7843287321335e-3,6.698917814295641e-3,6.909676209101241e-3,2.636836812581802e-4,1.77918572966732e-4,3.8504582490057725e-4
edgeSet1/(size=50 #rep=10 #sing=5 shuffle=Blocks),6.510783027915324e-3,6.421890222550397e-3,6.651583115042131e-3,2.952022326369427e-4,1.9836498224437123e-4,4.674686140909528e-4
edgeSet2/(size=100 #rep=2 #sing=5 shuffle=Blocks),7.848020584339305e-4,7.826544465579302e-4,7.871146115904626e-4,6.726995863786273e-6,5.422740293765055e-6,8.571795696173158e-6
edgeSet2/(size=100 #rep=2 #sing=60 shuffle=Blocks),5.921201565358569e-4,5.899455368968862e-4,5.947141719313226e-4,6.342873191791509e-6,4.914432773322547e-6,8.263720007007702e-6
edgeSet2/(size=100 #rep=5 #sing=5 shuffle=Blocks),6.183071192412328e-4,6.163407700478939e-4,6.199780191589991e-4,5.278244538682601e-6,3.842791673303297e-6,7.10321426479639e-6
edgeSet2/(size=100 #rep=10 #sing=5 shuffle=Blocks),5.94179541056437e-4,5.919036957643119e-4,5.964052552700517e-4,6.404651491317363e-6,4.81141314254756e-6,8.091409297662505e-6
edgeSet2/(size=50 #rep=2 #sing=5 shuffle=Blocks),1.839410102443486e-4,1.836334894874341e-4,1.843078095190145e-4,7.993556850325983e-7,6.281775293772498e-7,9.465410315577093e-7
edgeSet2/(size=50 #rep=2 #sing=30 shuffle=Blocks),1.4653629077697716e-4,1.462439713286784e-4,1.4679593373995666e-4,7.0297330202828e-7,5.097180166883278e-7,9.230228722603885e-7
edgeSet2/(size=50 #rep=5 #sing=5 shuffle=Blocks),1.5220189279317834e-4,1.5184983349465192e-4,1.524607833140571e-4,7.269289530528309e-7,5.325394528342457e-7,1.0201597689846978e-6
edgeSet2/(size=50 #rep=10 #sing=5 shuffle=Blocks),1.472746075374757e-4,1.4695957305498652e-4,1.4760721354364323e-4,8.106105142211377e-7,5.831681092117789e-7,1.096265694398739e-6
edgeSet3/(size=100 #rep=2 #sing=5 shuffle=Blocks),8.007039907320783e-4,7.975322054345862e-4,8.039740735356118e-4,9.177238461769837e-6,7.048905346979079e-6,1.1937432714772011e-5
edgeSet3/(size=100 #rep=2 #sing=60 shuffle=Blocks),5.988226566575011e-4,5.965930704867465e-4,6.030301879807019e-4,8.246428209757382e-6,5.329331068122675e-6,1.189869220973294e-5
edgeSet3/(size=100 #rep=5 #sing=5 shuffle=Blocks),6.210386590051265e-4,6.182366227109883e-4,6.237370742773755e-4,7.450224446295413e-6,5.73080290244006e-6,9.313700938726285e-6
edgeSet3/(size=100 #rep=10 #sing=5 shuffle=Blocks),6.00955406504682e-4,5.981410201939855e-4,6.037439119069162e-4,7.2024386730271e-6,5.438321749925157e-6,9.828953014345963e-6
edgeSet3/(size=50 #rep=2 #sing=5 shuffle=Blocks),1.8361504650051374e-4,1.8334782739208558e-4,1.838787469985086e-4,8.457338463216601e-7,7.064046269140165e-7,1.0355397126619272e-6
edgeSet3/(size=50 #rep=2 #sing=30 shuffle=Blocks),1.481159356148914e-4,1.4783412214063767e-4,1.484354907838996e-4,8.794428268164282e-7,6.301047261684032e-7,1.1990405230521135e-6
edgeSet3/(size=50 #rep=5 #sing=5 shuffle=Blocks),1.5289708878758794e-4,1.5257539240906142e-4,1.5331579990281895e-4,7.991535265339975e-7,6.170449652789016e-7,1.1620862205827835e-6
edgeSet3/(size=50 #rep=10 #sing=5 shuffle=Blocks),1.4760129561785954e-4,1.4726180886468984e-4,1.479368425693796e-4,7.833322626096602e-7,6.052884747135557e-7,1.0354150289355413e-6
