Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
edgeSet1/(size=100 #rep=2 #sing=5 shuffle=Blocks),5.991155202520959e-2,5.7507167253915165e-2,6.235649758996327e-2,3.5651367053024267e-3,2.701764137395121e-3,4.844445438518956e-3
edgeSet1/(size=100 #rep=2 #sing=60 shuffle=Blocks),5.3356165120005086e-2,5.1993138322345554e-2,5.4494841461538525e-2,2.3425991577669574e-3,1.7459206722227592e-3,3.092229549556287e-3
edgeSet1/(size=100 #rep=5 #sing=5 shuffle=Blocks),5.4371678464179424e-2,5.222435403498707e-2,5.639253134889672e-2,3.541277588891822e-3,2.421758888470258e-3,5.139100721164232e-3
edgeSet1/(size=100 #rep=10 #sing=5 shuffle=Blocks),5.3717550973344644e-2,5.1974723024534174e-2,5.5194870124497315e-2,2.9483517835289397e-3,1.6592909019314992e-3,4.1559561928114115e-3
edgeSet1/(size=50 #rep=2 #sing=5 shuffle=Blocks),7.89305587979576e-3,7.767723049794982e-3,8.060297473276704e-3,3.9097048203800996e-4,2.731071101002071e-4,5.61607418478725e-4
edgeSet1/(size=50 #rep=2 #sing=30 shuffle=Blocks),6.583084113629083e-3,6.472323332959495e-3,6.71311914130809e-3,2.5405121742372435e-4,1.9584035958278336e-4,3.248246358713471e-4
edgeSet1/(size=50 #rep=5 #sing=5 shuffle=Blocks),6.865339043501866e-3,6.74905694120667e-3,6.973805545957829e-3,2.9506843493274244e-4,2.2940066445071701e-4,3.847226332313245e-4
edgeSet1/(size=50 #rep=10 #sing=5 shuffle=Blocks),6.6571422554126645e-3,6.549881178668023e-3,6.740490835590217e-3,2.6076370838110314e-4,2.0728167376868228e-4,3.3404033407453113e-4
edgeSet2/(size=100 #rep=2 #sing=5 shuffle=Blocks),6.836216720887193e-4,6.81515314968496e-4,6.855310428304548e-4,5.6754384223874224e-6,4.607018079374474e-6,7.630213475013908e-6
edgeSet2/(size=100 #rep=2 #sing=60 shuffle=Blocks),4.6847055958096356e-4,4.66547713608093e-4,4.7046395480751263e-4,5.423165216220029e-6,3.9815531660449e-6,7.058824322569579e-6
edgeSet2/(size=100 #rep=5 #sing=5 shuffle=Blocks),4.989383785646472e-4,4.965337281670762e-4,5.015524814869469e-4,7.784354792174576e-6,5.978987928402854e-6,9.8891461662914e-6
edgeSet2/(size=100 #rep=10 #sing=5 shuffle=Blocks),4.688902772596595e-4,4.666650512508059e-4,4.7119260247211543e-4,7.070857187961731e-6,5.313359032151685e-6,1.0237660863201208e-5
edgeSet2/(size=50 #rep=2 #sing=5 shuffle=Blocks),1.5772607342235464e-4,1.5738509972821834e-4,1.5804529020842735e-4,9.354778480679365e-7,6.926827759834697e-7,1.2264258268293993e-6
edgeSet2/(size=50 #rep=2 #sing=30 shuffle=Blocks),1.1716830042603343e-4,1.1684289855325789e-4,1.1753546062288623e-4,9.422420184085156e-7,6.843887714382063e-7,1.2805588013729596e-6
edgeSet2/(size=50 #rep=5 #sing=5 shuffle=Blocks),1.227442241792162e-4,1.224970860934415e-4,1.2302290133672103e-4,6.844086891182628e-7,5.380849909123943e-7,9.378124279756758e-7
edgeSet2/(size=50 #rep=10 #sing=5 shuffle=Blocks),1.1698703198212205e-4,1.1677687021597982e-4,1.1721451096008394e-4,5.513647852354262e-7,4.221910860867721e-7,7.113167603028606e-7
edgeSet3/(size=100 #rep=2 #sing=5 shuffle=Blocks),1.569410455174507e-3,1.5579619033519968e-3,1.5827930348851012e-3,3.511800447806061e-5,3.067825421131126e-5,3.997448369666224e-5
edgeSet3/(size=100 #rep=2 #sing=60 shuffle=Blocks),1.3006592158622456e-3,1.297483760426401e-3,1.30434133028655e-3,9.659918110831228e-6,8.266746207095736e-6,1.1150607964616247e-5
edgeSet3/(size=100 #rep=5 #sing=5 shuffle=Blocks),1.315930106660307e-3,1.3145698527168906e-3,1.3180320792622413e-3,4.67501133893198e-6,3.4194090180923966e-6,6.88600755272762e-6
edgeSet3/(size=100 #rep=10 #sing=5 shuffle=Blocks),1.2887627360797136e-3,1.2870607417558347e-3,1.2902708979393987e-3,4.39318365407183e-6,3.3280285932540646e-6,5.687956927064999e-6
