Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
edgeSet3/(size=50 #rep=2 #sing=5 shuffle=Blocks),3.6615845133459107e-4,3.6581470336516554e-4,3.665804683578877e-4,1.075166969964085e-6,7.96841639129203e-7,1.447796436911364e-6
edgeSet3/(size=50 #rep=2 #sing=30 shuffle=Blocks),3.313490620913573e-4,3.3097764980328663e-4,3.316094640975021e-4,8.280405756629533e-7,6.818346180404198e-7,1.0287094875453755e-6
edgeSet3/(size=50 #rep=5 #sing=5 shuffle=Blocks),3.3646060940323156e-4,3.362032860644189e-4,3.3663830494501493e-4,6.040592536860114e-7,4.6219129033603116e-7,8.310061979052348e-7
edgeSet3/(size=50 #rep=10 #sing=5 shuffle=Blocks),3.308668520540907e-4,3.3052117484101034e-4,3.3119067216059176e-4,9.7075882389389e-7,7.548366955939981e-7,1.20097774522657e-6
edgeSet4/(size=100 #rep=2 #sing=5 shuffle=Blocks),1.5092242735835185e-3,1.5042704404090001e-3,1.516942060812321e-3,1.791049781589407e-5,1.1874634643053647e-5,2.8012407535821847e-5
edgeSet4/(size=100 #rep=2 #sing=60 shuffle=Blocks),1.2312278118224735e-3,1.2293679290007738e-3,1.233170049531111e-3,5.690942838399121e-6,4.289834033507703e-6,7.471988040983784e-6
edgeSet4/(size=100 #rep=5 #sing=5 shuffle=Blocks),1.2467888332753465e-3,1.245416724750205e-3,1.2482940549607099e-3,4.0027608442955475e-6,3.1314782603973456e-6,5.050816540990815e-6
edgeSet4/(size=100 #rep=10 #sing=5 shuffle=Blocks),1.2186347264016508e-3,1.216353482475292e-3,1.2198922831710198e-3,4.266853261705267e-6,3.123465900086622e-6,6.2765159986824525e-6
edgeSet4/(size=50 #rep=2 #sing=5 shuffle=Blocks),3.4383748882152123e-4,3.435730976261264e-4,3.441044373884512e-4,7.01057413942808e-7,5.537976940417078e-7,8.626243377990369e-7
edgeSet4/(size=50 #rep=2 #sing=30 shuffle=Blocks),3.11368842218217e-4,3.110742545458394e-4,3.1170956685449533e-4,8.297905264530436e-7,6.311440871075083e-7,1.0338459763973752e-6
edgeSet4/(size=50 #rep=5 #sing=5 shuffle=Blocks),3.161129802774313e-4,3.1571092512528505e-4,3.164271961710642e-4,9.88884055235777e-7,8.207628185087305e-7,1.2350537628427502e-6
edgeSet4/(size=50 #rep=10 #sing=5 shuffle=Blocks),3.117545679667823e-4,3.114815198291813e-4,3.119837841051692e-4,6.756663213193894e-7,5.608410550565535e-7,8.402248855717984e-7
edgeSet5/(size=100 #rep=2 #sing=5 shuffle=Blocks),1.7116601381495001e-3,1.7052694598097898e-3,1.7273702259510515e-3,2.64041798138255e-5,1.5213136024182784e-5,4.558278322979024e-5
edgeSet5/(size=100 #rep=2 #sing=60 shuffle=Blocks),1.4000783715698323e-3,1.3980223715963159e-3,1.402359833166897e-3,6.490626914626877e-6,5.398711828526218e-6,7.581552984535415e-6
edgeSet5/(size=100 #rep=5 #sing=5 shuffle=Blocks),1.4147093194690065e-3,1.413114029869586e-3,1.4164585419737096e-3,4.589084215476116e-6,3.6049886551825066e-6,5.9420800374964135e-6
edgeSet5/(size=100 #rep=10 #sing=5 shuffle=Blocks),1.3876665872931274e-3,1.3854307249385914e-3,1.3894848438128218e-3,6.1613350035590475e-6,4.875366076102222e-6,7.586922740359644e-6
edgeSet5/(size=50 #rep=2 #sing=5 shuffle=Blocks),3.902581089676933e-4,3.899835537682101e-4,3.905503021042582e-4,8.611616097025038e-7,7.198166840287308e-7,1.0284600386692247e-6
edgeSet5/(size=50 #rep=2 #sing=30 shuffle=Blocks),3.542270801896251e-4,3.539111392587414e-4,3.5459417387938345e-4,9.910336140892784e-7,7.186834680955266e-7,1.377379126222845e-6
edgeSet5/(size=50 #rep=5 #sing=5 shuffle=Blocks),3.5984359790183795e-4,3.595343988143556e-4,3.6033389910972245e-4,1.0978740451486794e-6,7.394414968358892e-7,1.6962578567338136e-6
edgeSet5/(size=50 #rep=10 #sing=5 shuffle=Blocks),3.5489607725493503e-4,3.5453318588555166e-4,3.553417267217076e-4,9.475879298443234e-7,7.634318618991327e-7,1.2172392029751226e-6
