Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
PCG/1000 Float uniform,1.7153389361906083e-5,1.70734427267845e-5,1.7398786603441527e-5,2.5080968134164954e-7,1.0039160661619851e-7,3.7225655770873145e-7
PCG/1000 Double uniform,1.881210871973796e-5,1.8676255237227236e-5,1.8953656772647484e-5,3.3634167397536557e-7,2.5840150736408313e-7,4.193856531059661e-7
"PCG/1000 Int (0,100)",1.8879463212432885e-5,1.882759287069385e-5,1.8936788822743046e-5,1.1775610294921203e-7,9.181713970593208e-8,1.3673012731987198e-7
"PCG/1000 Word8 (0,100)",2.5441511245961295e-5,2.540796449303347e-5,2.547190279248767e-5,6.788413363970146e-8,5.737489642383806e-8,8.134730262211776e-8
PCGFast/1000 Float uniform,1.7884146766486646e-5,1.777947925546194e-5,1.8100675666718162e-5,3.172169948419935e-7,2.2673105488278169e-7,4.276567578000639e-7
PCGFast/1000 Double uniform,1.8155102378775808e-5,1.8071138824552335e-5,1.8277696432547243e-5,2.3424265252236278e-7,1.7269425969317286e-7,3.159039971729084e-7
"PCGFast/1000 Int (0,100)",1.8729872490145937e-5,1.8596686090145213e-5,1.8877768080733505e-5,2.8999437543615585e-7,1.831695860545785e-7,3.5592441187508984e-7
"PCGFast/1000 Word8 (0,100)",2.5406565446173595e-5,2.5348919721932482e-5,2.545138510294181e-5,1.0042223886269636e-7,8.79603942154601e-8,1.1795804266439483e-7
PCGPure/1000 Float uniform,1.6678186356092713e-5,1.6579348918623688e-5,1.6793745126209716e-5,2.179907879075052e-7,1.1874597399781225e-7,2.8846056512060464e-7
PCGPure/1000 Double uniform,1.7879305637418792e-5,1.772213348289591e-5,1.7977779353889493e-5,2.895026477519904e-7,2.1588549030113631e-7,3.5997714653929216e-7
"PCGPure/1000 Int (0,100)",1.817917792036284e-5,1.8152929144107992e-5,1.8262560439634925e-5,8.9667322518084e-8,4.074184694454124e-8,1.562033943845481e-7
"PCGPure/1000 Word8 (0,100)",1.819284571853684e-5,1.8128836259820977e-5,1.8243618314036044e-5,1.248237039632953e-7,1.0017760274150255e-7,1.4910489678401209e-7
PCGFastPure/1000 Float uniform,1.671445860054712e-5,1.6592614948293492e-5,1.681748747891919e-5,2.3651664417959383e-7,1.7784018794229962e-7,3.0648869020889463e-7
PCGFastPure/1000 Double uniform,1.6021045607046766e-5,1.594370540679075e-5,1.608539333954444e-5,1.467525679967348e-7,1.154828798769983e-7,1.7321846375158511e-7
"PCGFastPure/1000 Int (0,100)",1.633786334813546e-5,1.626322073636333e-5,1.6440268245300428e-5,2.023686971956117e-7,1.6721441609110316e-7,2.503023312474318e-7
"PCGFastPure/1000 Word8 (0,100)",1.800303424432666e-5,1.792422107139474e-5,1.8079175120102302e-5,1.5643460350746633e-7,1.4247176269223158e-7,1.8521752055018947e-7
MWC/1000 Float uniform,2.0361153378131156e-5,2.033746792290088e-5,2.0388265121597865e-5,5.617967362288945e-8,3.969885126877605e-8,7.854190936206448e-8
MWC/1000 Double uniform,2.3457081579154455e-5,2.3415823001228984e-5,2.3548499977053193e-5,1.310778421292018e-7,9.295044701079204e-8,1.946589145912667e-7
"MWC/1000 Int (0,100)",2.7458428947027634e-5,2.7407844256978272e-5,2.74902508767811e-5,8.363018959208941e-8,5.405997977849679e-8,1.076955577797476e-7
"MWC/1000 Word8 (0,100)",2.0391355853142372e-5,2.0309307841138765e-5,2.047659094996024e-5,1.8173938115312856e-7,1.5266574588227457e-7,2.190277129509076e-7
