Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
edgeSet/(size=20 #rep=2 #sing=5 shuffle=Blocks),6.025123433207604e-5,6.0100389401196716e-5,6.041242389328433e-5,3.769733059808043e-7,2.988071605948293e-7,4.945840756113796e-7
edgeSet/(size=20 #rep=2 #sing=10 shuffle=Blocks),5.487048460284606e-5,5.4554565500405576e-5,5.511012836142806e-5,5.93289023003632e-7,4.435017767519476e-7,7.701120648363703e-7
edgeSet/(size=20 #rep=5 #sing=5 shuffle=Blocks),5.459947891890505e-5,5.445552174419811e-5,5.4775886426894326e-5,3.380423601780667e-7,2.5800267755791845e-7,4.628549828437189e-7
edgeSet/(size=20 #rep=10 #sing=5 shuffle=Blocks),5.361805297620545e-5,5.344059420364429e-5,5.375242203398081e-5,3.452419960513575e-7,2.7135493780979083e-7,4.4881714343236435e-7
edgeSet/(size=50 #rep=2 #sing=5 shuffle=Blocks),4.882900166097353e-4,4.8565610461755957e-4,4.911746169685158e-4,7.879403493887433e-6,6.56231177328856e-6,1.0118498021901864e-5
edgeSet/(size=50 #rep=2 #sing=30 shuffle=Blocks),3.700384287444028e-4,3.65903664774644e-4,3.73556062145113e-4,9.86795510041536e-6,7.606832237440672e-6,1.3271662705257782e-5
edgeSet/(size=50 #rep=5 #sing=5 shuffle=Blocks),3.8718133330176944e-4,3.8428807309916267e-4,3.90394452969257e-4,9.20634717719823e-6,6.958260898129902e-6,1.2132666899507504e-5
edgeSet/(size=50 #rep=10 #sing=5 shuffle=Blocks),3.693960976198129e-4,3.665911528765461e-4,3.722154046034044e-4,7.68685391103271e-6,5.933070321273945e-6,1.0289664417471558e-5
solution/(size=20 #rep=2 #sing=5 shuffle=Blocks),3.12308336691958e-4,3.1051592180576207e-4,3.139074373076296e-4,4.411717995904295e-6,3.435022856573579e-6,5.586981183375429e-6
solution/(size=20 #rep=2 #sing=10 shuffle=Blocks),2.2818828893538884e-4,2.2692066693862377e-4,2.294264710643058e-4,3.3994996115999142e-6,2.730228083346339e-6,4.584658802763448e-6
solution/(size=20 #rep=5 #sing=5 shuffle=Blocks),2.2974878315923898e-4,2.2867961906733954e-4,2.3091411786232358e-4,3.3009681027182593e-6,2.512867141646336e-6,4.3504578732641e-6
solution/(size=20 #rep=10 #sing=5 shuffle=Blocks),2.1824324962954627e-4,2.1717363401996416e-4,2.1955627147832705e-4,3.2924767011297277e-6,2.527001423398043e-6,4.65381124989175e-6
solution/(size=50 #rep=2 #sing=5 shuffle=Blocks),4.1701889212310585e-3,4.052293069306783e-3,4.299515149386741e-3,3.242237625378052e-4,2.1957801046764642e-4,4.884794371413833e-4
