Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
solution/(size=50 #rep=2 #sing=30 shuffle=Blocks),1.3615385429994336e-3,1.3426499155504603e-3,1.3852849906906574e-3,5.887057600474375e-5,4.607528462227471e-5,7.865733872188161e-5
solution/(size=50 #rep=5 #sing=5 shuffle=Blocks),1.8668328582212934e-3,1.8364961583586885e-3,1.9054544394316102e-3,9.675603742911414e-5,7.009798008935293e-5,1.2844347910474405e-4
solution/(size=50 #rep=10 #sing=5 shuffle=Blocks),1.3767101335175984e-3,1.352447144731855e-3,1.397254009182754e-3,6.139771711785247e-5,4.110363499215336e-5,9.079205935799975e-5
head solutions/(size=20 #rep=2 #sing=5 shuffle=Blocks),3.1071263186499884e-4,3.0935130369671353e-4,3.123734916351462e-4,4.311231466932233e-6,3.268310780909861e-6,5.468863444733407e-6
head solutions/(size=20 #rep=2 #sing=10 shuffle=Blocks),2.276862243677092e-4,2.266343110606085e-4,2.293941844887832e-4,3.3102540143364687e-6,2.706190337630614e-6,4.066744353826877e-6
head solutions/(size=20 #rep=5 #sing=5 shuffle=Blocks),2.2848876862098557e-4,2.2758321146810155e-4,2.299910359571297e-4,3.148336103400944e-6,2.295069731926705e-6,4.538942596805895e-6
head solutions/(size=20 #rep=10 #sing=5 shuffle=Blocks),2.171962042049247e-4,2.1599059468834533e-4,2.1848519281405138e-4,3.3773657707355352e-6,2.6139470825083595e-6,4.5423182850943364e-6
head solutions/(size=50 #rep=2 #sing=5 shuffle=Blocks),4.180395907796377e-3,4.082612920516466e-3,4.3598536911145045e-3,3.294302022952573e-4,2.0435596534506235e-4,5.011544968209249e-4
head solutions/(size=50 #rep=2 #sing=30 shuffle=Blocks),1.3427607280333122e-3,1.3258589008296523e-3,1.3649045892041801e-3,5.50844817078319e-5,4.313373301930206e-5,7.499391197770847e-5
head solutions/(size=50 #rep=5 #sing=5 shuffle=Blocks),1.8410489311172693e-3,1.8160122842511095e-3,1.8711281808011012e-3,9.024633322800083e-5,6.81180647925832e-5,1.2301644395058107e-4
head solutions/(size=50 #rep=10 #sing=5 shuffle=Blocks),1.3837873850731555e-3,1.3612164827441623e-3,1.402988567864876e-3,6.326172726243498e-5,4.529802742052622e-5,8.591166446022726e-5
solutions/(size=20 #rep=2 #sing=5 shuffle=Blocks),8.482550970434436e-3,8.019374633095025e-3,8.941497084166061e-3,1.1338385897868366e-3,7.989470757387995e-4,1.54479909374773e-3
solutions/(size=20 #rep=2 #sing=10 shuffle=Blocks),5.84923507139737e-3,5.437663333823567e-3,6.501678325487662e-3,1.3008854597105675e-3,8.576593713836161e-4,2.1651472240900266e-3
solutions/(size=20 #rep=5 #sing=5 shuffle=Blocks),5.668421433883883e-3,5.35452215735164e-3,5.985314103058127e-3,9.000160996380944e-4,6.168537063187522e-4,1.2510732283763538e-3
solutions/(size=20 #rep=10 #sing=5 shuffle=Blocks),5.40143771585768e-3,5.080111955900356e-3,5.861456022775686e-3,1.0453930032895925e-3,7.623456001143567e-4,1.4893915557102017e-3
solutions/(size=50 #rep=2 #sing=5 shuffle=Blocks),0.5624859920000134,0.20826033737503735,1.2877843690000077,0.49924160466436845,1.1878759999987665e-2,0.6594773317321057
solutions/(size=50 #rep=2 #sing=30 shuffle=Blocks),0.18008734802956478,0.1276098442345626,0.2720960042920698,9.487924318204201e-2,4.457572427919985e-2,0.15209711648131388
solutions/(size=50 #rep=5 #sing=5 shuffle=Blocks),0.2934997616982886,0.225996918974474,0.45676198383161626,0.11813146939713255,2.487797303820459e-2,0.19373170784985536
solutions/(size=50 #rep=10 #sing=5 shuffle=Blocks),0.19791436965937242,0.11154769970831085,0.2672399824041721,9.837807358172941e-2,6.399564707398249e-2,0.14223593405936605
mergeness/(size=20 #rep=2 #sing=5 shuffle=Blocks),3.167941432085211e-4,3.148381096492462e-4,3.1892997806820425e-4,2.738078541855075e-6,1.0215888898450402e-6,4.3933642029114546e-6
mergeness/(size=20 #rep=2 #sing=10 shuffle=Blocks),2.293513441965039e-4,2.2839324646863906e-4,2.3097682507023173e-4,1.3308151824738879e-6,6.739972907342353e-7,1.9565398025517e-6
mergeness/(size=20 #rep=5 #sing=5 shuffle=Blocks),2.310838953128549e-4,2.297701464436761e-4,2.325572816625047e-4,1.7842178551439466e-6,8.666540232796521e-7,2.3970872367934227e-6
mergeness/(size=20 #rep=10 #sing=5 shuffle=Blocks),2.198500651585849e-4,2.1855198137124467e-4,2.212778236454654e-4,1.7584005858425736e-6,1.056336772828141e-6,2.8614186591969075e-6
mergeness/(size=50 #rep=2 #sing=5 shuffle=Blocks),4.172696162722822e-3,4.092948405701413e-3,4.259857539014512e-3,1.1528161797106651e-4,8.295690639980063e-5,1.3949274720432634e-4
mergeness/(size=50 #rep=2 #sing=30 shuffle=Blocks),1.3411711582422025e-3,1.3250419380808345e-3,1.3586374245715e-3,2.2613585935159524e-5,1.6217490854319028e-5,2.8881562931908563e-5
mergeness/(size=50 #rep=5 #sing=5 shuffle=Blocks),1.873774782739185e-3,1.8490612982525738e-3,1.8977932968137067e-3,3.473021130026841e-5,2.2679234268020558e-5,4.624399192343944e-5
mergeness/(size=50 #rep=10 #sing=5 shuffle=Blocks),1.3959074459614776e-3,1.3852969201011086e-3,1.4060328094467568e-3,1.4363699386075935e-5,1.0132017621272807e-5,1.961939946370742e-5
toPartitions/(size=20 #rep=2 #sing=5 shuffle=Blocks),3.180811097675578e-4,3.149938740705414e-4,3.213344188598161e-4,3.2902930108439293e-6,1.0382811682560366e-6,4.275738344472779e-6
toPartitions/(size=20 #rep=2 #sing=10 shuffle=Blocks),2.879196168141858e-4,2.3068863884276701e-4,4.007427502912625e-4,9.771113560110882e-5,0.0,9.818078702159152e-5
toPartitions/(size=20 #rep=5 #sing=5 shuffle=Blocks),2.9175613816043633e-4,2.336114194104144e-4,4.0714056184637835e-4,9.992686668010592e-5,0.0,1.0018709709764868e-4
toPartitions/(size=20 #rep=10 #sing=5 shuffle=Blocks),2.7821676400504285e-4,2.2176163916213802e-4,3.8986611050755796e-4,9.66932257194806e-5,0.0,9.705516178325796e-5
toPartitions/(size=50 #rep=2 #sing=5 shuffle=Blocks),4.221170150848758e-3,4.155172754027163e-3,4.27084053710025e-3,6.739422851929688e-5,2.9912463376465922e-5,1.0183932855520316e-4
toPartitions/(size=50 #rep=2 #sing=30 shuffle=Blocks),1.3566567301755148e-3,1.341830178609162e-3,1.376478900920946e-3,2.1925703369336994e-5,1.0470772576421557e-5,3.361329014968619e-5
toPartitions/(size=50 #rep=5 #sing=5 shuffle=Blocks),1.8644270956888487e-3,1.8478322555361948e-3,1.8823559013220008e-3,2.243778170778544e-5,1.538968180117298e-5,2.82048436966443e-5
toPartitions/(size=50 #rep=10 #sing=5 shuffle=Blocks),1.403905102200598e-3,1.3742853439273346e-3,1.423672429301277e-3,2.3386265568769117e-5,1.1392438602309828e-5,2.944765028999883e-5
